rank,vendor,sku_count
1,AFE,990
2,BD-Power,726
3,BDS Suspension,663
4,PPE (Pacific Performance Eng.),630
5,Crown Brake Lines,617
6,ATS Diesel Performance,538
7,Method Race Wheels,511
8,Baja Designs Offroad LED Lights,502
9,Mishimoto,489
10,Fleece Performance Engineering,454
11,Carli Suspension,442
12,ISSPRO,417
13,Industrial Injection,377
14,ICON Vehicle Dynamics,359
15,Alliant Power,353
16,FASS Fuel Systems,346
17,WeatherTech,294
18,XDP,293
19,S&B,283
20,Diamond Eye Performance,282
21,MBRP Exhaust,277
22,PacBrake,277
23,Sinister Diesel,253
24,Auto Meter,252
25,Extend,250
26,Banks Power,243
27,AEV | American Expedition Vehicles,236
28,Yukon Gear & Axle,236
29,Smeding Diesel,234
30,No Limit Fabrication,234
31,PMF Suspension,206
32,FOX Shocks,199
33,Zone Offroad Suspension,198
34,Bosch,196
35,SunCoast Performance,187
36,Factor 55,185
37,Cometic Gaskets,181
38,ReadyLIFT Suspension,179
39,KC Turbos,169
40,Complete Performance,167
41,Edge Products,167
42,Dayco,153
43,Dynomite Diesel,150
44,Realtruck Superlift Suspension,146
45,Gen-Y Hitch,145
46,South Bend Clutch,142
47,SSBC-USA,141
48,RECON Lighting,138
49,Synergy Manufacturing,138
50,MAHLE,136
51,Apex Chassis,132
52,Grizzly,131
53,Fairchild Industries,127
54,Kryptonite,126
55,Mevotech,125
56,Cummins Diesel Parts,123
57,Customs Unlimited,120
58,ICON Alloys,117
59,BulletProof Hitches,117
60,Power Stroke Products,111
61,Black Rhino Wheels,110
62,DieselSite,108
63,Dipaco DTech Diesel Parts,108
64,CNC Fabrication,107
65,Mac's Custom Tie Downs,104
66,Glacier Diesel Power,102
67,Mel's Manufacturing,101
68,Merchant Automotive,100
69,AirDog | PureFlow Technologies,97
70,Kelderman,95
71,ARB,92
72,H&S Motorsports,92
73,Warn,90
74,Mopar | Factory OEM Dodge Ram,89
75,Full Send Diesel,88
76,Alpharex,88
77,Cognito Motorsports Suspension,87
78,Valair Clutch,86
79,Beans Diesel | Bean Machine,84
80,PML Covers,84
81,Ranch Hand,83
82,Bilstein Shock Absorbers,82
83,Dually Design Co.,82
84,Rigid Industries,81
85,Suspension MAXX,80
